# name: UN-dataset
# source: UN Data for SDGs revisions2.csv
# importDate: 2023-02-22T12:53:58.515Z
# description: undefined
# attribute -- name: Country, type: categorical, precision: 2, editable: true
# attribute -- name: Region, type: categorical, precision: 2, editable: true
# attribute -- name: Average Life Expectancy, description: The average number of years a person born in the country is expected to live assuming that prevailing mortality rates stay the same as the person ages. , type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Internet Users, description: Percent of the population that have access to the internet (2018)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Total Count of Medical Doctors, description: Total number of medical doctors (2001-2018)., type: numeric, unit: doctors, precision: 2, editable: true
# attribute -- name: Urban Living, description: The percent of people that live in urban areas as defined by the country., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Forested Area, description: Percent of the total land area that is forested and not being developed for agriculture or other commercial purposes (2016)., type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Average GNP per Person, description: GNP (Gross National Product) is the total value of products and services generated by all residents. This amount is divided by the whole population to create an average amount per person for the country. It is expressed in international dollars so that it reflects the same purchasing power as the US dollar. , type: numeric, unit: $, precision: 0, editable: true
# attribute -- name: Share of Income Owned by Top 1%, description: Share of pretax national income held by the richest 1 percent of the population (2010-2017). , type: numeric, unit: %, precision: 2, editable: true
# attribute -- name: Boundary, type: boundary, precision: 2, editable: true, formula: lookupBoundary(`country_boundaries`&comma;Country)
Country,Region,Average Life Expectancy,Internet Users,Total Count of Medical Doctors,Urban Living,Forested Area,Average GNP per Person,Share of Income Owned by Top 1%,Boundary
France,Europe,82.7,82.0,330000,80.7,31,"46,184",11,[object Object]
Gabon,Africa,66.5,62.0,70000,89.7,90,"14,870",11,[object Object]
Gambia,Africa,62.1,19.8,10000,61.9,48,"2,207",13,[object Object]
Georgia,Europe,73.8,64.0,710000,59.0,41,"15,014",..,[object Object]
Germany,Europe,81.3,89.7,430000,77.4,33,"53,815",13,[object Object]
Ghana,Africa,64.1,39.0,10000,56.7,41,"5,413",15,[object Object]
Greece,Europe,82.2,73.0,550000,79.4,32,"30,315",13,[object Object]
Grenada,Caribbean,72.4,59.1,140000,36.4,50,"17,242",..,[object Object]
Guatemala,Central America,74.3,65.0,40000,51.4,33,"8,638",..,[object Object]
Guinea,Africa,61.6,18.0,10000,36.5,26,"2,564",12,[object Object]
Guinea-Bissau,Africa,58.3,3.9,10000,43.8,70,"1,989",19,[object Object]
Guyana,South America,69.9,37.3,80000,26.7,84,"9,703",..,[object Object]
Haiti,Caribbean,64,32.5,20000,56.2,4,"1,729",..,[object Object]
Honduras,Central America,75.3,31.7,30000,57.7,40,"5,728",..,[object Object]
Hong Kong,Asia,84.9,89.4,,100.0,..,"59,893",..,[object Object]
Hungary,Europe,76.9,76.1,340000,71.6,23,"32,623",12,[object Object]
Iceland,Europe,83,99.0,410000,93.9,1,"55,874",8,[object Object]
India,Asia,69.7,34.5,90000,34.5,24,"6,754",21,[object Object]
Indonesia,Asia,71.7,39.8,40000,56.0,50,"11,812",..,[object Object]
Iran,Asia,76.7,70.0,160000,75.4,7,"14,536",16,[object Object]
Iraq,Asia,70.6,49.4,70000,70.7,2,"10,881",22,[object Object]
Ireland,Europe,82.3,84.5,330000,63.4,11,"86,781",11,[object Object]
Israel,Asia,83,81.6,460000,92.5,8,"40,162",..,[object Object]
Italy,Europe,83.5,74.4,400000,70.7,32,"42,413",9,[object Object]
Jamaica,Caribbean,74.5,55.1,130000,56.0,31,"9,761",..,[object Object]
Japan,Asia,84.6,84.6,240000,91.7,69,"41,429",10,[object Object]
Jordan,Asia,74.5,66.8,230000,91.2,1,"9,906",16,[object Object]
Kazakhstan,Asia,73.6,78.9,400000,57.5,1,"26,351",..,[object Object]
Kenya,Africa,66.7,17.8,20000,27.5,8,"4,330",15,[object Object]
Kiribati,Oceania,68.4,14.6,20000,54.8,15,"2,275",..,[object Object]
Kuwait,Asia,75.5,99.6,270000,100.0,0,"49,846",20,[object Object]
Kyrgyzstan,Asia,71.5,38.0,220000,36.6,3,"5,253",..,[object Object]
Lao,Asia,67.9,25.5,40000,35.6,82,"7,826",..,[object Object]
Latvia,Europe,75.3,83.6,320000,68.2,54,"30,830",11,[object Object]
Lebanon,Asia,78.9,78.2,210000,88.8,13,"14,717",23,[object Object]
Lesotho,Africa,54.3,29.0,10000,28.6,2,"2,768",19,[object Object]
Liberia,Africa,64.1,8.0,0,51.6,43,"1,428",12,[object Object]
Libya,Africa,72.9,21.8,210000,80.4,0,"15,174",14,[object Object]
Liechtenstein,Europe,80.7,98.1,,14.4,43,..,..,[object Object]
Lithuania,Europe,75.9,79.7,640000,67.9,35,"36,975",10,[object Object]
Luxembourg,Europe,82.3,97.1,300000,91.2,36,"114,482",12,[object Object]
Macedonia,Europe,75.8,79.2,290000,58.2,40,"16,506",8,[object Object]
Madagascar,Africa,67,9.8,20000,37.9,21,"1,646",15,[object Object]
Malawi,Africa,64.3,13.8,0,17.2,33,"1,060",31,[object Object]
Malaysia,Asia,76.2,81.2,150000,76.6,68,"28,351",15,[object Object]
Maldives,Asia,78.9,63.2,460000,40.2,3,"18,914",..,[object Object]
Mali,Africa,59.3,13.0,10000,43.1,4,"2,327",10,[object Object]
Malta,Europe,82.5,81.4,290000,94.7,1,"43,340",11,[object Object]
Marshall Islands,Oceania,74.1,38.7,40000,77.4,70,"3,894",..,[object Object]
Mauritania,Africa,64.9,20.8,20000,54.5,0,"5,197",11,[object Object]
Mauritius,Africa,75,58.6,250000,40.8,19,"22,989",14,[object Object]
Mexico,North America,75.1,65.8,240000,80.4,34,"19,746",..,[object Object]
Micronesia,Oceania,67.9,35.3,20000,22.8,92,"3,469",..,[object Object]
Moldova,Europe,71.9,76.1,320000,42.7,13,"13,034",10,[object Object]
Monaco,Asia,..,97.1,751000,100.0,..,..,..,[object Object]
Mongolia,Asia,69.9,23.7,290000,68.5,8,"12,310",..,[object Object]
Montenegro,Europe,76.9,71.5,280000,67.2,62,"21,379",9,[object Object]
Morocco,Africa,76.7,64.8,70000,63.0,13,"7,515",15,[object Object]
Mozambique,Africa,60.9,10.0,10000,36.5,48,"1,280",31,[object Object]
Myanmar,Asia,67.1,30.7,70000,30.9,44,"5,142",..,[object Object]
Namibia,Africa,63.7,51.0,40000,51.0,8,"9,637",22,[object Object]
Nauru,Oceania,..,57.0,140000,100.0,0,"11,599",..,[object Object]
Nepal,Asia,70.8,34.0,80000,20.2,25,"3,417",..,[object Object]
Netherlands,Europe,82.3,94.7,360000,91.9,11,"57,141",6,[object Object]
New Zealand,Oceania,82.3,90.8,360000,86.6,39,"42,888",9,[object Object]
Nicaragua,Central America,74.5,27.9,100000,58.8,26,"5,407",..,[object Object]
Niger,Africa,62.4,5.3,0,16.5,1,"1,219",11,[object Object]
Nigeria,Africa,54.7,42.0,40000,51.2,7,"5,135",15,[object Object]
North Korea,Asia,72.3,0.0,368000,62.1,40.7,..,..,[object Object]
Norway,Europe,82.4,96.5,290000,82.6,33,"63,633",9,[object Object]
Oman,Asia,77.9,80.2,200000,85.4,0,"27,896",20,[object Object]
Pakistan,Asia,67.3,15.5,100000,36.9,2,"4,690",..,[object Object]
Palau,Oceania,73.9,..,140000,80.5,88,"18,070",..,[object Object]
Palestine,Asia,74.1,64.4,,76.4,2,"5,662",16,[object Object]
Panama,Central America,78.5,57.9,160000,68.1,62,"31,459",..,[object Object]
Papua New Guinea,Oceania,64.5,11.2,10000,13.2,74,"4,388",..,[object Object]
Paraguay,South America,74.3,65.0,140000,61.9,38,"12,685",..,[object Object]
Peru,South America,76.7,52.5,130000,78.1,58,"12,848",..,[object Object]
Philippines,Asia,71.2,60.1,60000,47.1,28,"8,908",..,[object Object]
Poland,Europe,78.7,77.5,240000,60.0,31,"33,086",14,[object Object]
Portugal,Europe,82.1,74.7,510000,65.8,35,"34,798",11,[object Object]
Qatar,Asia,80.2,99.7,250000,99.2,0,"92,651",29,[object Object]
Republic of Seychelles,Africa,73.4,58.8,210000,57.1,88,"29,056",20,
Romania,Europe,76.1,70.7,300000,54.1,30,"29,909",15,[object Object]
Russian Federation,Europe,72.6,80.9,400000,74.6,50,"27,044",20,[object Object]
Rwanda,Africa,69,21.8,10000,17.3,20,"2,226",..,[object Object]
Saint Kitts and Nevis,Caribbean,74.8,80.7,270000,30.8,42,"26,357",..,[object Object]
Saint Lucia,Caribbean,76.2,50.8,60000,18.8,33,"15,449",..,[object Object]
Saint Vincent and the Grenadines,Caribbean,72.5,22.4,70000,52.6,69,"12,466",..,[object Object]
Samoa,Oceania,73.3,33.6,30000,18.1,60,"6,517",..,[object Object]
San Marino,Europe,..,60.2,611000,97.4,0,"59,350",..,[object Object]
São Tomé and Príncipe,Africa,70.4,29.9,10000,73.6,56,"3,964",9,[object Object]
Saudi Arabia,Asia,75.1,93.3,260000,84.1,1,"46,962",20,[object Object]
Senegal,Africa,67.9,46.0,10000,47.7,43,"3,395",13,[object Object]
Serbia,Europe,76,73.4,310000,56.3,31,"18,180",13,[object Object]
Sierra Leone,Africa,54.7,9.0,0,42.5,43,"1,718",11,[object Object]
Singapore,Asia,83.6,88.2,230000,100.0,23,"97,341",14,[object Object]
Slovakia,Europe,77.5,80.7,340000,53.7,40,"32,793",5,[object Object]
Slovenia,Europe,81.3,79.8,310000,54.8,62,"38,689",8,[object Object]
Solomon Islands,Oceania,73,11.9,20000,24.2,78,"2,367",..,[object Object]
Somalia,Africa,57.4,2.0,2000,45.6,10,..,16.9,[object Object]
South Africa,Africa,64.1,56.2,90000,66.9,8,"12,482",19,[object Object]
South Korea,Asia,83,95.9,240000,81.4,63,"42,661",12,[object Object]
South Sudan,Africa,57.9,8.0,,19.9,..,..,14,[object Object]
Spain,Europe,83.6,86.1,390000,80.6,37,"40,883",12,[object Object]
Sri Lanka,Asia,77,34.1,100000,18.6,33,"13,078",..,[object Object]
Sudan,Africa,65.3,30.9,30000,34.9,..,"3,958",11,[object Object]
Suriname,South America,71.7,48.9,120000,66.1,98,"16,329",..,[object Object]
Sweden,Europe,82.8,92.1,400000,87.7,69,"53,205",9,[object Object]
Switzerland,Europe,83.8,89.7,430000,73.8,32,"68,628",11,[object Object]
Syria,Asia,72.7,34.3,130000,54.8,3,..,15,[object Object]
Tajikistan,Asia,71.1,22.0,210000,27.3,3,"3,380",..,[object Object]
Tanzania,Africa,65.5,25.0,0,34.5,52,"2,660",16,[object Object]
Thailand,Asia,77.2,56.8,80000,50.7,32,"18,463",20,[object Object]
Togo,Africa,61,12.4,10000,42.2,3,"1,596",14,[object Object]
Tonga,Oceania,70.9,41.2,50000,23.1,13,"6,267",..,[object Object]
Trinidad and Tobago,Caribbean,73.5,77.3,420000,53.2,46,"26,176",..,[object Object]
Tunisia,Africa,76.7,64.2,130000,69.3,7,"10,756",11,[object Object]
Turkey,Asia,77.7,71.0,190000,75.6,15,"28,167",23,[object Object]
Turkmenistan,Asia,68.2,21.3,220000,52.0,9,"14,845",..,[object Object]
Tuvalu,Oceania,..,49.3,90000,63.2,33,"4,288",..,[object Object]
Uganda,Africa,63.4,23.7,20000,24.4,10,"2,181",17,[object Object]
Ukraine,Europe,72.1,58.9,300000,69.5,17,"12,810",..,[object Object]
United Arab Emirates,Asia,78,98.5,250000,86.8,5,"67,119",23,[object Object]
United Kingdom,Europe,81.3,94.9,280000,83.7,13,"46,699",13,[object Object]
United States,North America,78.9,87.3,260000,82.5,34,"62,683",21,[object Object]
Uruguay,South America,77.9,68.3,510000,95.4,11,"21,561",14,[object Object]
Uzbekistan,Asia,71.7,52.3,240000,50.4,8,"6,999",..,[object Object]
Vanuatu,Oceania,70.5,25.7,20000,25.4,36,"3,144",..,[object Object]
Venezuela,South America,72.1,72.0,,88.2,53,..,..,[object Object]
Vietnam,Asia,75.4,70.3,80000,36.6,48,"8,041",..,[object Object]
Yemen,Asia,66.1,26.7,50000,37.3,1,..,16,[object Object]
Zambia,Africa,63.9,14.3,120000,44.1,65,"3,479",23,[object Object]
Zimbabwe,Africa,61.5,27.1,20000,32.2,36,"2,836",17,[object Object]
